# time, size, blocksize, L1 DCM, L2 DCM, L2 DCA, FLOP {maybe block size and size are inverted not sure edit later}
179.717, 4096, 128, 10731433956, 5447881582, 10731433956, 166709132299
179.688, 4096, 128, 10731025324, 5444267564, 10731025324, 166698650527
179.690, 4096, 128, 10730872284, 5444135367, 10730872284, 166700412654
179.688, 4096, 128, 10730818571, 5444006709, 10730818571, 166700454815
179.684, 4096, 128, 10730899802, 5443979205, 10730899802, 166713861409
134.304, 4096, 256, 9649166812, 3665043841, 9649166812, 153095680335
134.301, 4096, 256, 9649267621, 3665016104, 9649267621, 153093066609
124.709, 4096, 256, 9473494636, 3371594567, 9473494636, 150228312554
129.385, 4096, 256, 9466314638, 3044349397, 9466314638, 153960800420
123.578, 4096, 256, 9405592426, 2494323754, 9405592426, 151262398357
114.025, 4096, 512, 8968457939, 1843812424, 8968457939, 147510646128
113.300, 4096, 512, 8948704777, 1326313294, 8948704777, 146224540300
113.608, 4096, 512, 8968567006, 1620464194, 8968567006, 146802162138
113.758, 4096, 512, 8965295528, 1482977776, 8965295528, 146603103681
113.168, 4096, 512, 8952762805, 1577693339, 8952762805, 146851641351
384.253, 6144, 128, 33722659478, 9431008989, 33722659478, 524470543375
397.790, 6144, 128, 33780495491, 9958704233, 33780495491, 527183685839
524.338, 6144, 128, 35652755232, 14320049544, 35652755232, 539505365016
524.442, 6144, 128, 35650259544, 14304234083, 35650259544, 539458978450
523.709, 6144, 128, 35648756395, 14361246560, 35648756395, 539514625449
378.203, 6144, 256, 31565720259, 4745792995, 31565720259, 501532648848
380.666, 6144, 256, 31555875795, 4909716487, 31555875795, 502475775785
380.824, 6144, 256, 31562260147, 4932076158, 31562260147, 501387854892
412.882, 6144, 256, 31838623297, 7814456510, 31838623297, 504650909387
391.325, 6144, 256, 31647575090, 5452220078, 31647575090, 502324888022
384.569, 6144, 512, 30316150612, 4315286125, 30316150612, 493147654854
384.921, 6144, 512, 30300184421, 4373659347, 30300184421, 493580532655
384.745, 6144, 512, 30301318539, 4164258208, 30301318539, 492734324191
383.511, 6144, 512, 30277718085, 4400389957, 30277718085, 493423915920
384.083, 6144, 512, 30273707051, 4329011245, 30273707051, 493612867726
1471.868, 8192, 128, 86279011346, 46494927376, 86279011346, 1337907404067
1391.116, 8192, 128, 84837903367, 45061189544, 84837903367, 1313984590621
1097.034, 8192, 128, 81807381922, 31099666126, 81807381922, 1290306018326
1136.959, 8192, 128, 82748325682, 32962093269, 82748325682, 1293047812284
1476.727, 8192, 128, 86297656353, 47369092345, 86297656353, 1342723078184
1093.979, 8192, 256, 77423994543, 31125212733, 77423994543, 1228187934275
944.454, 8192, 256, 75297087981, 16238533085, 75297087981, 1206234614374
957.719, 8192, 256, 75622439958, 17042111191, 75622439958, 1205430697619
1039.351, 8192, 256, 76360086567, 30144076170, 76360086567, 1212042121708
989.177, 8192, 256, 75915389168, 21056978906, 75915389168, 1211589715336
975.113, 8192, 512, 73385980894, 21191988957, 73385980894, 1193097252896
917.380, 8192, 512, 71761374464, 11626020493, 71761374464, 1173961813085
917.385, 8192, 512, 71811185489, 12648173049, 71811185489, 1176105600658
914.536, 8192, 512, 71770221657, 11760371731, 71770221657, 1174056808953
915.329, 8192, 512, 71771736485, 11676377571, 71771736485, 1173904693274
2447.082, 10240, 128, 165128582768, 67355540989, 165128582768, 2496965368972
1783.461, 10240, 128, 156184230044, 44447469184, 156184230044, 2429787943465
2456.475, 10240, 128, 165184847999, 68742243493, 165184847999, 2503690206536
1785.376, 10240, 128, 156326851564, 45962331815, 156326851564, 2432268273067
1927.741, 10240, 128, 156690731599, 47718604459, 156690731599, 2451703427660
2114.573, 10240, 256, 150875917038, 45117154294, 150875917038, 2369008584045
1644.724, 10240, 256, 145607617048, 19300644249, 145607617048, 2319620459584
1839.705, 10240, 256, 146401381392, 25426400446, 146401381392, 2342760422095
1680.483, 10240, 256, 145761794424, 20363367213, 145761794424, 2321738378911
1862.776, 10240, 256, 146546987810, 26962651470, 146546987810, 2345071504767
1907.228, 10240, 512, 143450739448, 40634106554, 143450739448, 2324283103110
1822.049, 10240, 512, 140295121226, 18713252592, 140295121226, 2286597203001
1809.820, 10240, 512, 140220725742, 21968678272, 140220725742, 2293893042558
1820.060, 10240, 512, 140261828276, 19100974034, 140261828276, 2289522750951
1815.734, 10240, 512, 140284272083, 21721728593, 140284272083, 2295006775489
