# time, size, L1 DCM, L2 DCM, L2 DCA, FLOP
0.358, 600, 27363164, 1929530, 27363164, 449398958
0.360, 600, 27415296, 1993650, 27415296, 449430382
0.358, 600, 27363369, 1904020, 27363369, 449346822
0.357, 600, 27357927, 1905118, 27357927, 448939026
0.358, 600, 27360569, 1914162, 27360569, 449337928
1.649, 1000, 126551241, 19561328, 126551241, 2107363413
1.649, 1000, 126544560, 19563183, 126544560, 2107333947
1.650, 1000, 126576245, 19625155, 126576245, 2107510790
1.652, 1000, 126590507, 19646635, 126590507, 2107374139
1.654, 1000, 126612022, 19690375, 126612022, 2107536398
4.501, 1400, 347321750, 58767329, 347321750, 5792919048
4.502, 1400, 347348634, 58923216, 347348634, 5792707893
4.501, 1400, 346810363, 56246321, 346810363, 5850425406
4.530, 1400, 347989132, 56201820, 347989132, 5850827510
4.468, 1400, 345965623, 58484358, 345965623, 5791567823
9.526, 1800, 747706353, 122320445, 747706353, 12431907668
9.496, 1800, 743249246, 127646334, 743249246, 12321430707
9.491, 1800, 743154754, 127211868, 743154754, 12320061757
9.490, 1800, 745179810, 123747206, 745179810, 12381255168
9.457, 1800, 741808582, 125877426, 741808582, 12317770381
17.493, 2200, 2091273623, 244638333, 2091273623, 22816882087
17.523, 2200, 2093760012, 240067846, 2093760012, 22858903916
17.513, 2200, 2093808334, 240631987, 2093808334, 22844185765
17.547, 2200, 2095456209, 237658906, 2095456209, 22901516529
17.549, 2200, 2094969463, 237910680, 2094969463, 22901582351
29.386, 2600, 4419538836, 426072778, 4419538836, 38348771527
29.364, 2600, 4422305164, 427038158, 4422305164, 38295898639
29.460, 2600, 4418066701, 416570863, 4418066701, 38494100318
29.508, 2600, 4418211458, 412500602, 4418211458, 38559506002
29.341, 2600, 4422375518, 432317789, 4422375518, 38225383661
45.153, 3000, 6788469383, 651488468, 6788469383, 59051709195
45.067, 3000, 6789909641, 670397889, 6789909641, 58904889415
44.971, 3000, 6789994329, 678814299, 6789994329, 58750328157
45.264, 3000, 6787920933, 650318971, 6787920933, 59230248995
45.067, 3000, 6790600078, 668275279, 6790600078, 58877961350
120.085, 4096, 17704360959, 1754249100, 17704360959, 163424159257
120.084, 4096, 17704544123, 1751386235, 17704544123, 163420181570
120.101, 4096, 17704707160, 1753499089, 17704707160, 163436681396
120.095, 4096, 17704581918, 1753482146, 17704581918, 163433351563
120.099, 4096, 17704645853, 1753620241, 17704645853, 163436557152
406.871, 6144, 59698818911, 6238295379, 59698818911, 552658758687
405.677, 6144, 59665727804, 6370556327, 59665727804, 552149887395
416.395, 6144, 59707664722, 6064866798, 59707664722, 557292546275
416.130, 6144, 59714687689, 6042967955, 59714687689, 557251012797
415.449, 6144, 59736909996, 5893350386, 59736909996, 557091324676
987.995, 8192, 141428459520, 14651162289, 141428459520, 1321399149274
988.245, 8192, 141430544577, 14629821326, 141430544577, 1321450339710
962.240, 8192, 141325263706, 15474546184, 141325263706, 1308844862198
962.722, 8192, 141317579423, 15571223892, 141317579423, 1308939519288
993.911, 8192, 141472860096, 14879848399, 141472860096, 1323472433375
1894.392, 10240, 275982792105, 31905234175, 275982792105, 2563695901073
1937.871, 10240, 276091188540, 31796949600, 276091188540, 2586606026547
1950.029, 10240, 276213986570, 32082050943, 276213986570, 2594534848636
1896.230, 10240, 275994756598, 31987829856, 275994756598, 2564942296425
1945.476, 10240, 276174295248, 31036977317, 276174295248, 2590982785660
1947.758, 10240, 276194558240, 31509801251, 276194558240, 2592548497439
