0.215, 600, 13695765, 1754027, 13695765, 224874518
0.212, 600, 13707697, 1753152, 13707697, 224779817
0.213, 600, 13713014, 1704608, 13713014, 224826302
0.212, 600, 13709004, 1878826, 13709004, 224931974
0.212, 600, 13708780, 1880106, 13708780, 224927940
0.988, 1000, 63564468, 11393473, 63564468, 1042811434
0.987, 1000, 63562495, 11609994, 63562495, 1041784357
0.986, 1000, 63534351, 11284555, 63534351, 1042303904
1.003, 1000, 63586872, 11252175, 63586872, 1043052156
0.989, 1000, 63656988, 11136796, 63656988, 1043453165
2.683, 1400, 175558286, 36649061, 175558286, 2854064026
2.688, 1400, 175227861, 34810086, 175227861, 2854947646
2.641, 1400, 174507026, 28809862, 174507026, 2862274000
2.674, 1400, 175197478, 37365247, 175197478, 2852874409
2.681, 1400, 175525755, 36728339, 175525755, 2853151754
5.646, 1800, 376335087, 78656766, 376335087, 6063347676
5.645, 1800, 376634550, 79339573, 376634550, 6060517556
5.633, 1800, 376079660, 80084902, 376079660, 6058651721
5.617, 1800, 375666786, 73182563, 375666786, 6070432233
5.633, 1800, 376267823, 77138409, 376267823, 6063554180
10.196, 2200, 1035871296, 142174006, 1035871296, 11083797232
10.216, 2200, 1036063051, 150826995, 1036063051, 11074181656
10.286, 2200, 1043185001, 149193468, 1043185001, 11069699065
10.193, 2200, 1041004460, 141208795, 1041004460, 11081632316
10.203, 2200, 1037574621, 140331585, 1037574621, 11084847078
16.816, 2600, 2182995651, 245495656, 2182995651, 18319935084
16.801, 2600, 2187936392, 242608385, 2187936392, 18324232414
16.791, 2600, 2192776251, 242052381, 2192776251, 18323188497
16.815, 2600, 2183890294, 245489008, 2183890294, 18321654876
16.817, 2600, 2186035811, 239290913, 2186035811, 18334937036
25.776, 3000, 3364059295, 365018173, 3364059295, 28171099498
25.762, 3000, 3357575717, 377738602, 3357575717, 28140771356
25.773, 3000, 3357121456, 381551831, 3357121456, 28136472344
25.776, 3000, 3357900643, 378329527, 3357900643, 28140086575
25.764, 3000, 3357341104, 379328725, 3357341104, 28138528903
230.822, 6144, 30078066998, 3724233168, 30078066998, 251575748404
230.679, 6144, 30062067895, 3641750687, 30062067895, 252288845421
230.425, 6144, 30048674270, 3696313314, 30048674270, 251778541701
231.128, 6144, 30063946300, 3715612128, 30063946300, 252046441853
231.463, 6144, 30065349624, 3720520659, 30065349624, 252094963532
542.974, 8192, 71219872116, 8986463219, 71219872116, 591657519337
543.235, 8192, 71201004890, 8888862775, 71201004890, 592102221190
551.672, 8192, 71195216604, 8986183756, 71195216604, 598086092306
556.515, 8192, 71242053251, 9701804222, 71242053251, 599450324372
543.749, 8192, 71196135488, 8878219457, 71196135488, 592175311995
1073.466, 10240, 139085726612, 18036337066, 139085726612, 1157100644289
1088.104, 10240, 139093746400, 18638522646, 139093746400, 1166246692702
1086.923, 10240, 139107947156, 18719014156, 139107947156, 1168948121337
1072.929, 10240, 139052966626, 17784813785, 139052966626, 1159872197715
1086.312, 10240, 139075012921, 18559828314, 139075012921, 1166129333874
